Course Code,Title,Department,Credits,Description,Prerequisites,Typically Offered,Last Offered (Catalog),Offered Fall 2026?,Min GPA Required,Notes,Catalog URL
VSB 4002,Strategic Thinking & Implementation,VSB,3,Capstone business course. Teaches students to think strategically and holistically about companies and non-profit organizations from the top down and with a long-term organizational perspective.,"VSB 2020, VSB 3008","Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Senior capstone. Required for all VSB students.,https://live-villanova-catalog.cleancatalog.io/villanova-school-of-business/vsb-4002
MIS 2020,Programming for Adaptive Problem Solving,MIS,3,"Introduction to programming concepts with emphasis on adaptive problem solving. Covers algorithm design, data structures, and programming fundamentals applied to business contexts.",VSB 2006,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,"Choose 2 of MIS 2020, 2030, 2040 for MIS foundation requirement.",https://live-villanova-catalog.cleancatalog.io/management-information-systems/mis-2020
MIS 2030,Database Management,MIS,3,"Design, implementation, and use of relational databases. Topics include entity-relationship modeling, normalization, SQL, and database administration in a business context.",VSB 2006,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,"Choose 2 of MIS 2020, 2030, 2040. CSC 4480 may fulfill this requirement.",https://live-villanova-catalog.cleancatalog.io/management-information-systems/mis-2030
MIS 2040,Systems Analysis & Design,MIS,3,"Methodologies and techniques for analyzing, designing, and implementing information systems. Covers requirements gathering, UML modeling, prototyping, and project management.",VSB 2006,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,"Choose 2 of MIS 2020, 2030, 2040 for MIS foundation requirement.",https://live-villanova-catalog.cleancatalog.io/management-information-systems/mis-2040
MIS 3020,Enterprise Systems & Applications,MIS,3,Management and development of enterprise computing concepts and applications in today's organization; integration of information systems in real time for support of internal functions; integration of E-Commerce front ends with ERP systems.,"VSB 2006, VSB 2020, VSB 2009",Fall,"Fall 2026, Fall 2025, Fall 2024, Fall 2023",No,None,MIS major elective. Fall only.,https://live-villanova-catalog.cleancatalog.io/management-information-systems/mis-3020
MIS 3050,CRM and Data Analytics,MIS,3,"Fundamental issues associated with Customer Relationship Management (CRM) and Data Analytics, theoretical and practical, such as designing and building a data warehouse, building and populating info-cubes, report generation with SAP BW, data mining, and business intelligence technologies.","VSB 2006, VSB 2020, VSB 2009",Spring,"Spring 2026, Spring 2025, Spring 2024, Spring 2023",No,None,MIS major elective. Spring only.,https://live-villanova-catalog.cleancatalog.io/management-information-systems/mis-3050
MIS 3060,Business Intelligence & Performance Management,MIS,3,"Theory and practice of business intelligence systems, including data warehousing, online analytical processing (OLAP), dashboards, and performance management frameworks for strategic decision-making.","VSB 2006, VSB 2020","Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,MIS major elective. MSA 8240 may fulfill this requirement.,https://live-villanova-catalog.cleancatalog.io/management-information-systems/mis-3060
MIS 3070,Emerging Business Technologies,MIS,3,"Survey of emerging technologies and their business applications. Topics include blockchain, IoT, augmented reality, cloud computing, and their strategic implications for organizations.",VSB 2006,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,MIS major elective.,https://live-villanova-catalog.cleancatalog.io/management-information-systems/mis-3070
MIS 3080,Applied Machine Learning,MIS,3,"Covers use of machine learning algorithms in business decision making and ethical challenges. Involves data preparation and pre-processing, coding and implementation of ML models including regression, forests, nearest neighbor, dimensionality reduction, and neural networks.","VSB 2006, MIS 2020","Fall, Spring","Fall 2026, Spring 2026, Spring 2025, Spring 2024",Yes,None,MIS major elective.,https://live-villanova-catalog.cleancatalog.io/management-information-systems/mis-3080
MIS 3300,AI & Machine Learning for Business,MIS,3,"Examines how AI/ML applications in natural language processing, expert systems, deep learning, vision, speech, planning, and robotics will impact business functions. Covers predominant AI/ML platforms and ethical AI issues.",VSB 2006,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,MIS major elective. Also counts toward AIML Minor. Double-dip requires written departmental approval.,https://live-villanova-catalog.cleancatalog.io/management-information-systems/mis-3300
ECO 1001,Introduction to Microeconomics,Economics,3,"Principles of microeconomics including supply and demand, market equilibrium, consumer and firm behavior, market structure, and government policy.",None,"Fall, Spring","Fall 2026, Spring 2026, Summer 2026, Fall 2025",Yes,None,Required VSB and CLAS core.,https://live-villanova-catalog.cleancatalog.io/economics/eco-1001
ECO 1002,Introduction to Macroeconomics,Economics,3,"Principles of macroeconomics including national income accounting, monetary and fiscal policy, inflation, unemployment, and international trade.",None,"Fall, Spring","Fall 2026, Spring 2026, Summer 2026, Fall 2025",Yes,None,Required VSB and CLAS core.,https://live-villanova-catalog.cleancatalog.io/economics/eco-1002
ECO 3108,Global Political Economy,Economics,3,"Students learn about the political history, socio-economic conditions, and government policies of various countries and regions to analyze and evaluate the global impact on international trade and monetary relations.","ECO 1001, ECO 1002","Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required VSB core. Typically taken junior year.,https://live-villanova-catalog.cleancatalog.io/economics/eco-3108
MAT 1500,Calculus I,Mathematics,4,"Limits, continuity, derivatives and their applications, introduction to integration. Covers differential calculus and its applications to business and science.",None,"Fall, Spring","Fall 2026, Spring 2026, Summer 2026, Fall 2025",Yes,None,Required for VSB students. Prerequisite for VSB 2008.,https://live-villanova-catalog.cleancatalog.io/mathematics-statistics/mat-1500
STAT 1430,Applied Statistics,Mathematics,3,"Descriptive statistics, probability distributions, statistical inference, regression analysis, and applications to business and social sciences.",None,"Fall, Spring","Fall 2026, Spring 2026, Summer 2026, Fall 2025",Yes,None,Required for VSB students. Prerequisite for VSB 2008.,https://live-villanova-catalog.cleancatalog.io/mathematics-statistics/stat-1430
MAT 2400,Calculus III,Mathematics,3,"Multivariable calculus including partial derivatives, multiple integrals, vector calculus, and applications to science and engineering.",MAT 1500,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required for CSC major.,https://live-villanova-catalog.cleancatalog.io/mathematics-statistics/mat-2400
ACS 1000,Augustine & Culture Seminar I,Humanities,3,"A Humanities seminar based principally on texts and readings drawn from primary sources up to 1650. Extensive written work and seminar discussions. Required readings include Hebrew and Christian scriptures, Augustine, Greek and Renaissance works.",None,Fall,"Fall 2026, Fall 2025, Fall 2024, Fall 2023",Yes,None,Required CLAS/VSB core. Taken freshman fall.,https://live-villanova-catalog.cleancatalog.io/humanities/acs-1000
ACS 1001,Augustine & Culture Seminar II,Humanities,3,A Humanities seminar based on texts and readings from primary sources from 1650 to the present. Continuation of ACS 1000 with focus on modern intellectual and cultural history.,ACS 1000,Spring,"Spring 2026, Spring 2025, Spring 2024, Spring 2023",No,None,Required CLAS/VSB core. Taken freshman spring.,https://live-villanova-catalog.cleancatalog.io/humanities/acs-1001
ETH 2050,Ethics,Philosophy,3,"Systematic examination of ethical theory and its application to contemporary moral problems. Covers major ethical traditions including virtue ethics, deontology, and consequentialism.",None,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required core for all Villanova students.,https://live-villanova-catalog.cleancatalog.io/philosophy/eth-2050
PHI 1000,Introduction to Philosophy,Philosophy,3,"Introduction to the central questions and methods of philosophy including metaphysics, epistemology, ethics, and political philosophy. Emphasis on critical reasoning and argument analysis.",None,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required core for all Villanova students.,https://live-villanova-catalog.cleancatalog.io/philosophy/phi-1000
PHI 2180,Philosophy of Mind,Philosophy,3,"Philosophical examination of the mind including consciousness, intentionality, mental causation, and the relationship between mind and body. Readings from classical and contemporary sources.",PHI 1000,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,CLAS elective.,https://live-villanova-catalog.cleancatalog.io/philosophy/phi-2180
THL 1000,Introduction to Theology,Theology,3,"Introduction to theological inquiry and the Catholic intellectual tradition. Covers scripture, Christian history, and systematic theology in dialogue with contemporary issues.",None,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required core for all Villanova students.,https://live-villanova-catalog.cleancatalog.io/theology-religious-studies/thl-1000
ENG 1000,Writing and Rhetoric,English,3,"Introduction to academic writing with emphasis on argumentation, research, revision, and rhetorical analysis. Students complete multiple writing projects across genres.",None,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required writing core.,https://live-villanova-catalog.cleancatalog.io/english/eng-1000
CSC 1051,Algorithms & Data Structures I,Computer Science,4,"Introduction to object-oriented programming and data structures. Topics include classes, inheritance, polymorphism, arrays, linked lists, stacks, queues, and algorithm analysis using Java.",None,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Gateway course for CSC major and minor. 4 credits.,https://live-villanova-catalog.cleancatalog.io/computing-sciences/csc-1051
CSC 1052,Algorithms & Data Structures II,Computer Science,4,"Continuation of CSC 1051. Advanced data structures including trees, heaps, hash tables, and graphs. Algorithm design, analysis, and complexity. Introduction to sorting and searching algorithms.",CSC 1051,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required CSC major course. 4 credits. May fulfill MIS 2020.,https://live-villanova-catalog.cleancatalog.io/computing-sciences/csc-1052
CSC 1300,Discrete Structures,Computer Science,3,"Mathematical foundations of computer science including logic, sets, relations, functions, combinatorics, graph theory, and proof techniques.",None,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required CSC major course.,https://live-villanova-catalog.cleancatalog.io/computing-sciences/csc-1300
CSC 1700,Analysis of Algorithms,Computer Science,3,"Design and analysis of algorithms including asymptotic complexity, divide-and-conquer, dynamic programming, greedy algorithms, graph algorithms, and NP-completeness.","CSC 1052, CSC 1300","Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required CSC major course.,https://live-villanova-catalog.cleancatalog.io/computing-sciences/csc-1700
CSC 1800,Organization of Programming Languages,Computer Science,3,"Survey of programming language concepts including syntax, semantics, type systems, scope, control structures, and programming paradigms (functional, logical, object-oriented).",CSC 1052,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required CSC major course.,https://live-villanova-catalog.cleancatalog.io/computing-sciences/csc-1800
CSC 2053,Platform Based Computing,Computer Science,3,"Development of software for specific platforms including mobile, web, and cloud environments. Covers APIs, frameworks, and platform-specific design considerations.",CSC 1052,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required CSC major course.,https://live-villanova-catalog.cleancatalog.io/computing-sciences/csc-2053
CSC 2300,Statistics for Computing,Computer Science,3,"Probability and statistics with applications to computing. Topics include probability distributions, hypothesis testing, regression, and statistical computing.","CSC 1051, MAT 1500","Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required CSC major course. STAT 4310 is an alternative.,https://live-villanova-catalog.cleancatalog.io/computing-sciences/csc-2300
CSC 2400,Computer Systems,Computer Science,3,"Computer organization and assembly language programming. Topics include data representation, instruction sets, memory hierarchy, I/O, and processor design.",CSC 1052,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required CSC major course.,https://live-villanova-catalog.cleancatalog.io/computing-sciences/csc-2400
CSC 2405,Computer Systems II,Computer Science,3,"Advanced topics in computer systems including operating systems concepts, processes, threads, synchronization, memory management, and file systems.",CSC 2400,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required CSC major course.,https://live-villanova-catalog.cleancatalog.io/computing-sciences/csc-2405
CSC 4170,Theory of Computation,Computer Science,3,"Formal models of computation including automata, grammars, Turing machines, decidability, and complexity theory. Applications to language design and compiler construction.","CSC 1700, CSC 1300","Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required CSC major course. Typically taken senior year.,https://live-villanova-catalog.cleancatalog.io/computing-sciences/csc-4170
CSC 4480,Principles of Database Systems,Computer Science,3,"Theoretical and practical foundations of database systems including relational model, SQL, query optimization, transaction processing, concurrency control, and NoSQL databases.","CSC 1052, CSC 1300","Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required CSC major course. May fulfill MIS 2030 requirement.,https://live-villanova-catalog.cleancatalog.io/computing-sciences/csc-4480
CSC 4700,Software Engineering,Computer Science,3,"Principles and practices of large-scale software development including requirements, design patterns, testing, version control, agile methodologies, and project management.","CSC 1052, CSC 2053","Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required CSC major course.,https://live-villanova-catalog.cleancatalog.io/computing-sciences/csc-4700
PSY 1000,Introduction to Psychology,Psychology,3,"Survey of the science of psychology including biological bases of behavior, sensation and perception, learning, memory, cognition, development, personality, social psychology, and mental health.",None,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Gateway course for PSY major.,https://live-villanova-catalog.cleancatalog.io/psychological-and-brain-sciences/psy-1000
PSY 2100,Research Methods in Psychology,Psychology,3,"Introduction to scientific research methods in psychology including experimental design, data collection, statistical analysis, and ethical considerations in research.",PSY 1000,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required PSY major. Prerequisite for all upper-division PSY courses.,https://live-villanova-catalog.cleancatalog.io/psychological-and-brain-sciences/psy-2100
PSY 2110,Statistics for Psychology,Psychology,3,"Statistical methods used in psychological research including descriptive statistics, inferential statistics, correlation, regression, t-tests, and ANOVA using SPSS.",PSY 1000,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required PSY major. Co-requisite or prerequisite for PSY 2100.,https://live-villanova-catalog.cleancatalog.io/psychological-and-brain-sciences/psy-2110
FIN 2114,Financial Markets & Institutions,Finance,3,"Structure and function of financial markets and institutions. Topics include money markets, capital markets, commercial banking, investment banking, and financial regulation.",VSB 2009,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Finance major required course.,https://live-villanova-catalog.cleancatalog.io/finance/fin-2114
FIN 2227,Investments,Finance,3,"Principles of investment analysis including portfolio theory, asset pricing models, security analysis, market efficiency, and derivatives.",VSB 2009,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Finance major required course.,https://live-villanova-catalog.cleancatalog.io/finance/fin-2227
FIN 2323,Corporate Finance,Finance,3,"Advanced topics in corporate financial management including capital structure, dividend policy, mergers and acquisitions, international finance, and financial distress.","FIN 2114, FIN 2227","Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Finance major required course.,https://live-villanova-catalog.cleancatalog.io/finance/fin-2323
MGT 3170,Organizational Behavior,Management,3,"Individual and group behavior in organizations. Topics include motivation, leadership, communication, team dynamics, organizational culture, and change management.",VSB 2020,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required for many VSB majors.,https://live-villanova-catalog.cleancatalog.io/management/mgt-3170
MGT 4170,Human Resource Management,Management,3,"Strategic management of human resources including recruitment, selection, training, performance evaluation, compensation, labor relations, and employment law.",MGT 3170,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Management major course.,https://live-villanova-catalog.cleancatalog.io/management/mgt-4170
MGT 3600,Business Law,Management,3,"Legal environment of business including contracts, torts, property, agency, employment law, and business organizations. Focus on practical application to business decision-making.",None,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required for Business Law minor.,https://live-villanova-catalog.cleancatalog.io/management/mgt-3600
